start run api module
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /user/login               --> gochat/api/handler.Login (4 handlers)
[GIN-debug] POST   /user/register            --> gochat/api/handler.Register (4 handlers)
[GIN-debug] POST   /user/checkAuth           --> gochat/api/handler.CheckAuth (5 handlers)
[GIN-debug] POST   /user/logout              --> gochat/api/handler.Logout (5 handlers)
[GIN-debug] POST   /push/push                --> gochat/api/handler.Push (5 handlers)
[GIN-debug] POST   /push/pushRoom            --> gochat/api/handler.PushRoom (5 handlers)
[GIN-debug] POST   /push/count               --> gochat/api/handler.Count (5 handlers)
[GIN-debug] POST   /push/getRoomInfo         --> gochat/api/handler.GetRoomInfo (5 handlers)
time="2023-07-22T19:34:02+08:00" level=info msg="server start , now run mode is debug" func="gochat/api.(*Chat).Run" file="/Users/hushuang/project/gochat/api/chat.go:35"
[GIN] 2023/07/22 - 19:34:06 | 200 |   26.197955ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    26.67165ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    29.92428ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   11.885614ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    30.24791ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   29.726766ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   29.469885ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   30.856747ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   31.153864ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   28.438297ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   32.337157ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   29.995218ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    31.31833ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   30.104636ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   29.254488ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   30.076479ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    32.52997ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   30.210902ms |       127.0.0.1 | POST     "/push/pushRoom"
